Date,Close
2025-02-05,2029.7
2025-02-06,2032.6
2025-02-07,2038.05
2025-02-08,2045.8
2025-02-09,2052.21
2025-02-10,2058.68
2025-02-11,2060.1
2025-02-12,2065.84
2025-02-13,2059.9
2025-02-14,2066.06
2025-02-15,2067.11
2025-02-16,2062.02
2025-02-17,2062.44
2025-02-18,2060.33
2025-02-19,2053.94
2025-02-20,2051.96
2025-02-21,2049.39
2025-02-22,2055.68
2025-02-23,2058.52
2025-02-24,2053.31
2025-02-25,2052.88
2025-02-26,2046.68
2025-02-27,2050.69
2025-02-28,2045.22
2025-03-01,2040.19
2025-03-02,2035.62
2025-03-03,2037.39
2025-03-04,2035.35
2025-03-05,2040.14
2025-03-06,2035.92
2025-03-07,2031.18
2025-03-08,2038.06
2025-03-09,2045.89
2025-03-10,2041.0
2025-03-11,2034.77
2025-03-12,2027.34
2025-03-13,2024.97
2025-03-14,2019.6
2025-03-15,2014.5
2025-03-16,2006.43
2025-03-17,2009.23
2025-03-18,2003.31
2025-03-19,1997.7
2025-03-20,2001.34
2025-03-21,2008.56
2025-03-22,2001.5
2025-03-23,2006.41
2025-03-24,2004.99
2025-03-25,1998.0
2025-03-26,1992.32
2025-03-27,1990.54
2025-03-28,1986.62
2025-03-29,1980.38
2025-03-30,1973.85
2025-03-31,1980.28
2025-04-01,1976.6
2025-04-02,1969.98
2025-04-03,1970.16
2025-04-04,1976.64
2025-04-05,1975.98
2025-04-06,1982.34
2025-04-07,1981.94
2025-04-08,1980.01
2025-04-09,1982.02
2025-04-10,1972.96
2025-04-11,1971.49
2025-04-12,1967.71
2025-04-13,1963.79
2025-04-14,1955.32
2025-04-15,1959.93
2025-04-16,1957.03
2025-04-17,1959.21
2025-04-18,1958.16
2025-04-19,1959.84
2025-04-20,1954.81
2025-04-21,1944.81
2025-04-22,1936.3
2025-04-23,1933.55
2025-04-24,1932.43
2025-04-25,1933.4
2025-04-26,1928.22
2025-04-27,1930.07
2025-04-28,1933.2
2025-04-29,1935.49
2025-04-30,1939.6
2025-05-01,1943.95
2025-05-02,1936.77
2025-05-03,1932.61
2025-05-04,1928.86
2025-05-05,1929.83
2025-05-06,1924.04
2025-05-07,1920.01
2025-05-08,1910.77
2025-05-09,1910.77
2025-05-10,1906.33
2025-05-11,1903.65
2025-05-12,1896.91
2025-05-13,1894.18
2025-05-14,1892.91
2025-05-15,1894.98
2025-05-16,1889.72
2025-05-17,1881.71
2025-05-18,1871.45
2025-05-19,1864.52
2025-05-20,1865.34
2025-05-21,1861.17
2025-05-22,1852.02
2025-05-23,1855.22
2025-05-24,1847.65
2025-05-25,1844.42
2025-05-26,1842.18
2025-05-27,1836.16
2025-05-28,1832.23
2025-05-29,1825.88
2025-05-30,1827.25
2025-05-31,1823.67
2025-06-01,1819.5
2025-06-02,1821.55
2025-06-03,1822.24
2025-06-04,1826.11
2025-06-05,1828.62
2025-06-06,1827.25
2025-06-07,1820.62
2025-06-08,1821.46
2025-06-09,1820.63
2025-06-10,1816.88
2025-06-11,1818.12
2025-06-12,1814.03
2025-06-13,1819.85
2025-06-14,1813.08
2025-06-15,1810.63
2025-06-16,1807.3
2025-06-17,1813.02
2025-06-18,1812.33
2025-06-19,1817.09
2025-06-20,1818.84
2025-06-21,1819.96
2025-06-22,1825.5
2025-06-23,1826.29
2025-06-24,1821.38
2025-06-25,1818.4
2025-06-26,1810.97
2025-06-27,1804.76
2025-06-28,1804.66
2025-06-29,1800.59
2025-06-30,1802.19
2025-07-01,1800.75
2025-07-02,1804.43
2025-07-03,1809.92
2025-07-04,1801.83
2025-07-05,1793.49
2025-07-06,1789.64
2025-07-07,1791.43
2025-07-08,1794.77
2025-07-09,1795.07
2025-07-10,1794.47
2025-07-11,1801.64
2025-07-12,1797.9
2025-07-13,1789.69
2025-07-14,1794.59
2025-07-15,1795.47
2025-07-16,1800.2
2025-07-17,1793.97
2025-07-18,1800.44
2025-07-19,1800.05
2025-07-20,1800.36
2025-07-21,1806.16
2025-07-22,1800.19
2025-07-23,1792.7
2025-07-24,1790.53
2025-07-25,1797.03
2025-07-26,1805.17
2025-07-27,1801.44
2025-07-28,1797.34
2025-07-29,1795.49
2025-07-30,1789.22
2025-07-31,1784.16
2025-08-01,1783.17
2025-08-02,1783.46
2025-08-03,1783.02
2025-08-04,1791.56
2025-08-05,1786.98
2025-08-06,1783.28
2025-08-07,1780.19
2025-08-08,1782.19
2025-08-09,1788.64
2025-08-10,1783.91
2025-08-11,1779.69
2025-08-12,1784.8
2025-08-13,1783.03
2025-08-14,1790.41
2025-08-15,1789.07
2025-08-16,1797.43
2025-08-17,1791.19
2025-08-18,1796.39
2025-08-19,1803.68
2025-08-20,1810.18
2025-08-21,1813.79
2025-08-22,1809.57
2025-08-23,1818.23
2025-08-24,1813.3
2025-08-25,1820.93
2025-08-26,1830.78
2025-08-27,1827.58
2025-08-28,1829.56
2025-08-29,1824.63
2025-08-30,1825.5
2025-08-31,1823.84
2025-09-01,1829.65
2025-09-02,1838.4
2025-09-03,1834.77
2025-09-04,1840.36
2025-09-05,1848.67
2025-09-06,1852.0
2025-09-07,1847.15
2025-09-08,1848.74
2025-09-09,1844.59
2025-09-10,1853.39
2025-09-11,1848.55
2025-09-12,1857.77
2025-09-13,1859.57
2025-09-14,1860.73
2025-09-15,1862.23
2025-09-16,1856.91
2025-09-17,1855.22
2025-09-18,1863.02
2025-09-19,1872.38
2025-09-20,1876.82
2025-09-21,1872.39
2025-09-22,1882.24
2025-09-23,1882.01
2025-09-24,1877.71
